center_id,hub_id,center_name,center_segment,center_plan_price
2257,42,LOI CISROMACIS ,GOOD,29
2260,44,CZALLA PUIMS ,GOOD,29
2261,43,LOI CISROMACIS ,GOOD,29
2264,33,MAP MIP ,GOOD,
2267,17,SIZ DA IMIA ,FOOD,49.9
2270,73,LIGGAPLUS,FOOD,
2274,27,LILI CISRUMACS ,GOOD,
2275,20,LILI CISRUMACS ,GOOD,29
2276,28,LILI CISRUMACS ,GOOD,29
2278,51,IPA EMUOU ,GOOD,
2292,37,AIEMAMIMU IU PRUSEM,GOOD,29
2306,13,ZIVIAIMIS ,GOOD,
2311,13,PAGAES ,GOOD,29.9
2313,36,IPALUPAES ,FOOD,49
2317,37,SIRSUMG ,GOOD,0
2326,37,CLUPU RULASSI ,GOOD,
2354,13,RIOIAMRUEUA,FOOD,49.9
2355,17,URPARAI IEUGI PULIMIS ,GOOD,29
2356,8,CAI RIRAMARI ,GOOD,29.9
2390,8,SIRLE MUMUAS ,GOOD,
2398,27,EAVAMI FIGOI ,FOOD,49.9
